ID;m1(Msun);m2(Msun);porb(days);e;a(AU);p1(s);p2(s);pdot1(s/s);pdot2(s/s);b1(T);b2(T);x(kpc);y(kpc);z(kpc);vx(km/s);vy(km/s);vz(km/s);l1(mJy kpc²);l2(mJy kpc²);type1;type2
0;1.2423598053917262;1.27758353409753;0.20071716134136486;0.15665346630233454;0.009130121613219154;1.5919122551676958e-11;5.535534139842567e-14;24.473649211486364;60183089.85413023;6685725.241325249;626946145.0153693;30.75165689318193;15.684442292521213;4.7052187183233745;-37.31780289392242;210.50411919409234;7.77979587014742;6.391760805112532e-06;6.82766149220612e-06;13;13
1;1.2610565270577356;1.242;0.3743932661881219;0.4452679648203497;0.013803806772346553;1.2518197083947278e-16;1.3960626187863305e-11;39.54897657824938;204607.76829372082;24011.711401002718;572387550.5516324;-83.13534169904031;-66.90590719809049;8.659207008996313;54.16102218294242;-59.6967912631967;29.792831253337514;2.71982388101222e-08;2.692252337281319e-08;13;13
2;1.2424105336607614;1.27758353409753;0.15527476886270566;0.38265141779450407;0.0076940865380090056;6.930995768411e-12;7.959536236426506e-16;0.5065404557689718;400299785.8276463;634677.8644156634;193887490.6913502;-39.90736232421634;-8.055217093062168;-0.1741790394447305;-0.13324830885602224;-248.73011167157458;105.38184644589806;0.011267416727338463;0.5194618500018704;13;13
3;1.2610235650138957;1.242;0.3734459038034126;0.06970483834192671;0.013780450405641388;2.6834908762336823e-17;3.1501176878625077e-11;39225.984762854714;5514.492825028301;350119.1846607826;141153889.10275787;-7.629863589246676;-40.93790978077857;1.0782126567534875;183.31535324061676;-25.608624840877145;0.5461060342755627;1.5328986911818828e-05;1.5227619602920922e-05;13;13
4;2.2081581422276124;2.0390110977174594;1.067385565461229;0.6496767162983751;0.03310325545815914;1.2470312594183646e-16;1.832849387623974e-11;298.2870046713446;136557.21804996123;87108.42898445964;686604944.6066185;189.5471894724348;-460.0504682654374;-184.86163739779852;179.98929275360766;-335.92398605894385;-135.9469988823266;4.289531521250815e-08;4.073031900702311e-08;13;13
5;1.2421965050634762;1.27758353409753;0.4632080586442771;0.6075346035565504;0.015943912938920467;9.557998279287154e-12;2.284334283367542e-14;24.877002643565664;6191879.736180394;5222681.474026798;129182687.15033;-2.7933104826263673;-2.750065132458462;18.870594708478723;-92.74843735762684;-147.75417251283045;202.05424963897613;4.889424479024341e-06;5.0421642961652585e-06;13;13
6;1.2422140185111286;1.294350649237857;0.6108242233811295;0.5114032866612802;0.019215400768423492;1.8227773144524165e-11;1.3154368247113355e-13;0.7673794374165795;11423374.521926282;1266735.6362434456;423816663.64538383;-32.774175204384896;16.537871968096983;-0.9680322625951181;71.02378164882744;-213.5898603283996;-58.49746314032333;5.135864230845088e-07;5.31536643802568e-07;13;13
7;1.2422861230348143;1.27758353409753;0.1382213917951322;0.10926454206582771;0.007119773313744939;1.158978347348002e-11;2.517754665869263e-14;2.5519673350376624;169461190.11084569;1842052.1799553155;709504345.6073468;-27.998504404999753;16.025230882059923;-10.163361244555473;-139.88218947325942;-179.8532204898034;8.561919439653792;0.0001425452257129627;0.00015154173315497962;13;13
8;1.2423439375419003;1.27758353409753;2.1385594745179968;0.8646905204265154;0.04420793222433992;8.229189077293575e-12;3.944482938875893e-14;0.17775485188109258;4603048.907838752;409662.3706839206;146362919.79634455;14.694196699878356;120.49106863026877;78.61989999118882;-64.94895063702626;53.46506213715712;49.47085470644749;4.003383247058293e-08;4.1350431579387594e-08;13;13
9;1.2611870034783714;1.27758353409753;0.0893130479960166;0.3419820257238513;0.005334672014321323;4.477683245503538e-12;1.4434143056508212e-15;183.64521536667397;255174654.75809923;9786413.611631846;208462287.74565098;-40.9236924065352;-6.618504888676346;0.4461410338768511;-55.82552612371407;-185.73772464595493;96.51240674025712;0.007862547561421082;0.06007381335476627;13;13
10;1.2423147121434435;1.242;0.364045827692122;0.11003937705352754;0.0135143825610178;8.575927732699631e-17;2.999249448836356e-11;1547.4903359912814;39.899552868872696;123391.78308600922;11715665.922129272;35.91761631734627;0.1346074638462798;-0.7694144481791888;3.353071346795784;193.27097244798546;0.1559915977903406;2.1455240828654976e-07;2.1464019898657225e-07;13;13
11;1.2423147121434435;1.242;0.47465456620567575;0.14399540891292723;0.016129117735735138;8.304475999834139e-17;3.75055888508617e-11;11211.08198716319;235.63469469556603;326822.23260156374;31837890.375278585;10.72455204353245;-35.03962322330677;0.7878296770005823;196.1364289230572;65.85869468927437;-0.07075458015908094;5.98407725038462e-07;5.98896589142129e-07;13;13
12;1.2422936807056568;1.27758353409753;0.2464245629542635;0.35493727635677697;0.01046820991359109;1.1936423173050478e-11;9.452687578108414e-14;0.685204154789668;680876962.658632;968668.3960922654;2755657264.9707775;-29.988437319419926;44.55571854793933;7.861992028540364;-188.5677703315563;-40.031144888227985;18.30415571098278;5.4231181138398236e-05;6.777318677136053e-05;13;13
13;1.2423649786076447;1.27758353409753;0.5129264455349418;0.6403596013699623;0.01706569250320309;9.268613165516228e-12;1.6952796512031168e-14;33.467071899345115;5773653.8631699225;5965635.817870355;107463077.96869645;109.69379422751739;273.0667599712925;37.89990401893293;-35.359370720625215;47.772000459654514;-1.8964692000350665;2.285344883106563e-08;2.380332487681316e-08;13;13
14;1.2423203992172624;1.242;0.4518394560733815;0.04850543305795831;0.015608048390569727;2.7587745478225035e-16;3.8826178144941166e-11;311190.53234690276;719358.1680776025;3138368.951170087;1789829170.298131;-41.38855662973569;8.544598741157484;-0.7226821548095933;-56.652371135934374;-184.53567978070683;-3.188582513379987;4.96763106387828e-06;4.9861221980882285e-06;13;13
15;1.2423203992172624;1.242;0.48137281708132806;0.05184772737621284;0.016280967505454064;1.4498907873233453e-16;4.11072925534847e-11;1045492.9122115785;1200624.0297987256;4170238.535442383;2379247509.2512794;-12.394588284618598;43.33227412559025;-0.955185982230175;-177.15912804079605;-67.4623031645076;-2.949693678975393;9.449729536308548e-05;9.621159902059042e-05;13;13
16;2.4293204206473216;2.1769318116841183;5.190513050563589;0.8868321093180833;0.09762163183263789;4.066501689453116e-17;1.5149773610519494e-11;3727.6934791780304;123152.99601360678;184450.1569246835;612540574.9967471;33.67613016861432;53.879465104383655;-7.097466974492377;119.07873648010414;21.698991158337737;0.9523959536573241;2.7928182217279877e-06;2.5986984492557675e-06;13;13
17;1.2609405880110094;1.242;0.1968493319461354;0.059717341795619217;0.008992134136821211;4.4343546796984336e-17;1.692734116453747e-11;39193.237131661605;196683.29097826674;449868.3138117255;617952050.553527;1.8404267791010243;43.80011992093373;4.66326304848265;-196.78519261996414;-16.253339686483635;-2.014187448316899;6.354764582440537e-06;6.336789492560784e-06;13;13
18;1.2610402020683558;1.3784033803263966;0.6330652326199359;0.2550139423455846;0.01994158785206926;3.9329302279135386e-11;2.3890008450463727e-14;0.29855252823472944;383257138.1444705;1169365.517106373;1079611936.44872;-27.793910722587256;24.494494629382892;-0.031290799199318174;94.02284171287819;-100.0619313627204;-1.0135814096854725;0.0006048145079448249;0.000801802415495324;13;13
19;1.2610402020683558;1.3784033803263966;0.5049477961268839;0.20891171982478166;0.017151090875912205;3.4704323535723654e-11;8.967516445045484e-14;0.03128911179384947;9257761.515767252;355606.9126284519;325089906.1394581;26.17032897597313;-29.81144551942213;9.62305840239729;12.654042912622002;187.9993441761655;88.85385088710181;5.204103693405543e-07;5.561578862545143e-07;13;13
20;1.2610402020683558;1.3784033803263966;0.6148031820200485;0.24875205009243767;0.019556216285616893;3.885277390319194e-11;5.462171608335958e-14;0.22329731969621638;123680399.17132564;1005158.5145868057;927358184.2299639;81.01025453154347;-26.00212890790104;-3.7572423809770776;75.88708150849807;58.204479114289185;-3.8871593405783553;3.647398374473595e-06;4.021099533611935e-06;13;13
21;1.2610402020683558;1.3784033803263966;0.44773577998269043;0.18679922467700374;0.01582979516228301;3.287825160359969e-11;9.195060797611616e-14;0.017145753829701835;4635527.865186522;256220.83060189468;232938513.8438632;-64.72501057228942;-14.330432989508969;53.53225689809867;3.4443819898009234;-98.881574411753;-5.09843412042731;6.455589841045088e-08;6.886582327738039e-08;13;13
22;1.2610402020683558;1.3784033803263966;0.5119033592440777;0.2115481533880575;0.01730823356205742;3.5501262284359244e-11;8.912400244737762e-14;0.04250313270964041;13000087.19572304;419193.1270562973;384047438.93329996;-648.3767912487154;-130.89347984652198;-18.617711730353594;-118.7051069023039;-46.10436089654675;-2.7837291222620357;2.184197662326484e-09;2.335032570574889e-09;13;13
23;1.2610005072264105;1.242;0.37382736324841576;0.09567565335617118;0.013789790569090753;3.40951040543385e-16;3.0942228621642314e-11;2214426.8117605853;5720.743563817182;9376734.57295417;142488136.42602596;-18.36718832946527;32.274805125225356;0.20433862750981577;-150.34649496623064;-121.70263148898644;-1.8661614845278598;0.00011198749851813802;0.00011170403090952117;13;13
24;1.2423283974851036;1.242;0.5832149666631209;0.17916108840719983;0.01850313884621231;3.290141651094752e-16;4.2412315986271934e-11;326931.39318860054;10584.47751169689;3512931.76978362;226911954.83776504;37.93541751830991;10.453400664492252;2.6264695933622115;-52.300802649158875;187.8734798973485;12.08407588459668;5.042514300374753e-06;5.05793093327026e-06;13;13
25;1.2422876165094918;1.27758353409753;0.08081762027923249;0.12607465309642987;0.004978365555743389;6.594291744084154e-12;1.069791560636941e-14;4.878575046608204;26268123.99798652;1921133.5057342537;182086329.5556815;-7.298702705486822;-76.77779883222091;18.243208861154002;130.65529284098938;-46.60516844620347;-18.126821554652437;4.219532866796014e-06;4.621939633419088e-06;13;13
26;1.8794480056938896;1.828276779930104;1.0450777561050948;0.5015607594533822;0.031195469937921685;2.736299228402772e-16;3.2164775397351735e-11;9302.047717164076;1330885.7333022575;664738.0316146769;2688698005.3984;379.45037910744026;29.69929142127256;-47.71116644900722;65.77890303155306;19.82163259849893;-24.630845288100616;1.662069680399592e-08;1.632963444945505e-08;13;13
27;1.2420679977167086;1.242;0.33484328760833615;0.14514060632208137;0.01278121649024159;2.7942843682769524e-15;2.5876986271651742e-11;17025532.86701742;2622125.0305604907;73871041.38382472;2789717434.8593807;30.447645413486324;-31.445354625064443;1.252038493791149;128.23249854654028;134.99583509872292;-0.6733241401177967;7.061251435550245e-05;7.106556921425205e-05;13;13
