p1(s);p2(s);pdot1(s/s);pdot2(s/s);l1(mJy kpc²);l2(mJy kpc²);x(kpc);y(kpc);z(kpc);vx(km/s);vy(km/s);vz(km/s);seed;S1*A;S2*A;A;porb(days);b1(T);b2(T);m1(Msun);m2(Msun);porb_i;e_form;e;a(AU);ce;type1;type2;ID
0.0557854;17.4182;8.2623300000000005e-19;2.56629e-16;0.3425;72.3092;-2.22312;1.4497;-0.121187;178.482;184.048;-14.6646;2408858548;1065220000000.0;11.7093;106.629;1.77082;575116.0;204129000.0;1.35756;1.52823;10.8885;0.789546;0.773973;0.0407829;0;13;13;1657
0.678319;11.1528;1.79004e-16;3.04537e-15;0.0714668;79.643;-1.48381;-4.06064;0.110629;-215.591;129.315;112.595;2905609251;1063370000000.0;15.0649;106.444;0.329729;41251500.0;531412000.0;1.8938;1.27758;1.37651;0.104294;0.102639;0.0137234;0;13;13;1658
0.0864974;20.1064;5.185230000000001e-18;1.21194e-15;43.3898;0.24903;4.19189;-0.535979;0.0843449;50.0582;-281.77;5.02446;2905660070;1.8686;1.73269;14.7961;9.76167;1929840.0;516533000.0;1.34786;1.54231;53.8095;0.589812;0.5898;0.12733;0;13;13;1659
0.0248538;40.5204;8.6227e-20;1.30739e-16;3.93064;2.40475;3.45711;3.64383;0.0713259;186.804;-280.41;20.0328;1165944014;5.54761;3.21172;33.9205;0.261763;130240.0;223135000.0;1.34825;1.43747;2.33519;0.400019;0.278751;0.0112683;0;13;13;1660
0.240942;6.94221;1.37669e-18;3.95961e-17;0.0445102;0.456621;2.74026;-3.32345;0.0802714;-152.959;-184.257;6.91442;1165955630;5.27077;4.1629;38.7166;0.118101;1605450.0;47275500.0;1.33579;1.30399;2.00238;0.476528;0.20516;0.00651075;0;13;13;1661
0.00985545;28.6299;7.92266e-21;2.0302e-16;0.65775;0.00869393;-0.597944;-1.52723;-0.0919274;-209.582;145.151;18.1863;2352245795;761893000000.0;8.71803;76.2655;0.488074;40436.6;221225000.0;2.39399;1.27758;2.05212;0.405513;0.359374;0.0187161;0;13;13;1662
0.0704233;24.4403;2.3758199999999997e-20;7.17295e-18;0.0922632;10.1965;0.168962;5.14829;0.118308;254.507;65.4768;-38.2243;2352317067;877561000000.0;9.59194;87.844;0.313075;118818.0;43837400.0;1.35391;1.52801;2.81293;0.337352;0.226261;0.012841;0;13;13;1663
0.0655844;36.2772;4.49191e-19;2.45162e-16;7.44496;1.27585;-0.169336;2.20431;0.116522;263.778;-45.1702;58.5701;2352346802;715390000000.0;7.95444;71.6106;0.307855;489403.0;306113000.0;1.35745;1.52418;2.48813;0.448705;0.350494;0.0126975;0;13;13;1664
0.0736713;50.6386;1.21326e-19;7.99085e-17;0.271434;2.23915;1.65869;-0.718998;0.289219;-103.113;-194.302;-22.6075;2352378764;5.09423;4.30981;40.8128;4.77384;266142.0;196764000.0;1.34294;1.45202;26.7887;0.806127;0.802393;0.0781586;0;13;13;1665
0.0446556;20.9454;2.2785299999999997e-20;9.102830000000001e-18;11.9087;14.7903;-1.18942;-0.90983;-0.0420524;-84.7864;109.808;20.7823;2352391635;851897000000.0;10.4995;85.2749;2.65313;95983.2;61893700.0;1.46641;2.34431;15.5268;0.346192;0.344731;0.0585844;1;13;13;1666
0.0366092;4.01581;2.1621400000000003e-18;2.38188e-16;24.3303;2.17166;0.916249;2.16079;-0.162719;212.196;-79.5981;22.6185;1335614877;28.3726;5.90069;54.875;0.149055;806648.0;99702300.0;1.36002;1.49685;1.43803;0.49016;0.346424;0.00780672;0;13;13;1667
0.235655;15.5725;1.4357e-17;9.55189e-16;0.250476;189.813;-3.05578;-1.03242;0.0536263;-135.958;324.881;-7.59237;42613859;1231760000000.0;16.0362;123.299;7.51237;5331810.0;385581000.0;1.33306;1.43225;40.955;0.417222;0.417214;0.105367;0;13;13;1668
0.0492024;38.8951;1.40933e-19;1.0698e-16;0.00761878;103.458;1.00183;3.0282;0.0487153;333.591;-92.808;-33.012;42708228;580887000000.0;7.19044;58.1468;2.18774;238618.0;197993000.0;1.32384;1.39705;12.105;0.596081;0.592589;0.0460441;0;13;13;1669
0.0370909;13.2966;1.03099e-17;3.81855e-15;1.51089;4.54645;-2.20276;2.55878;-0.434018;248.812;125.274;-33.4857;42752562;23.5172;10.9633;110.832;0.179576;1792500.0;659050000.0;1.32787;1.27758;1.04625;0.344865;0.322403;0.0085717;0;13;13;1670
0.0355616;9.9742;3.27754e-20;8.0986e-18;0.678017;16.016;-1.43091;-1.84275;-0.329355;-157.936;174.194;42.6584;16222960;28.8052;9.50908;92.4463;0.168022;113475.0;30819900.0;1.63513;1.6065;2.77767;0.516055;0.221968;0.0088194;1;13;13;1671
0.0281957;43.8711;2.2387099999999998e-20;2.84375e-17;0.181093;2.05281;1.77083;-0.836627;0.315076;-146.065;-211.472;16.3614;16236562;6.27527;3.89218;39.6018;0.932525;71844.5;106964000.0;1.33803;1.38404;5.52261;0.488857;0.465471;0.0260823;0;13;13;1672
0.00487353;36.3203;2.40823e-21;1.05618e-22;5.24747;1.64977;-0.15479;1.07975;0.252074;149.891;129.015;3.57145;16361983;676623000000.0;7.19219;67.73;1.20897;10006.7;195340.0;1.34493;1.4631;9.29746;0.635125;0.56046;0.0313341;0;13;13;1673
0.0650574;50.8074;1.03374e-19;7.67729e-17;1.91498;56.1018;-0.521836;4.32576;-8.60625;216.57;47.5411;-22.4388;3253318220;13.2476;13.2069;165.401;1.62258;230778.0;200009000.0;1.34174;1.52773;12.4722;0.81518;0.773539;0.0384012;0;13;13;1674
0.034419;25.518;8.09372e-19;5.97561e-16;9.09149;0.857102;-0.257971;0.963515;0.0248032;211.403;-40.5807;-7.84112;3253339745;690539000000.0;8.28529;69.1231;0.474109;481418.0;411554000.0;1.3776;1.57693;3.38194;0.622439;0.563847;0.0170748;0;13;13;1675
0.154129;30.2075;7.57426e-19;1.47518e-16;0.689529;21.3054;-4.04635;-5.43824;-0.0489444;-188.513;262.242;-8.51467;2994241986;1745170000000.0;45.7698;174.691;1.08407;943195.0;205514000.0;1.34594;1.48044;6.18316;0.500391;0.489642;0.0292004;0;13;13;1676
0.0448041;31.6052;9.265589999999999e-20;6.1916e-17;23.1716;0.547136;65.4084;-50.6193;-5.37286;-277.234;150.823;26.8853;2153879464;548.161;482.351;5886.91;0.793407;209548.0;208661000.0;1.62996;2.47886;5.33785;0.537435;0.485938;0.0268644;1;13;13;1677
0.014866;20.6735;1.5111100000000001e-18;2.14916e-15;6.56544;4.60876;-1.50726;0.356942;0.414816;47.0411;213.366;55.9719;338693972;32.481;10.0584;90.6875;0.118834;608372.0;741036000.0;2.23843;1.77783;0.84274;0.323572;0.19634;0.00751926;1;13;13;1678
0.434166;28.1369;2.05748e-17;1.34566e-15;1.03776;0.204759;6.67655;2.24995;-0.0894907;25.6425;-243.083;6.12358;338725792;0.61618;0.615805;6.82179;4.17437;8216050.0;539563000.0;1.313;1.27758;22.3645;0.245192;0.245173;0.069684;0;13;13;1679
0.238957;43.9644;2.13853e-19;3.86545e-17;0.200188;10.2031;-4.95836;-1.09531;-0.167131;-148.645;285.926;1.62961;338728989;1689780000000.0;20.1242;169.147;0.303849;657905.0;121081000.0;1.30887;1.27758;2.55661;0.38512;0.276911;0.0121417;0;13;13;1680
0.204983;26.4405;2.4988800000000004e-18;3.22915e-16;0.159842;1.65338;2.98694;1.0396;-0.204609;13.4566;-295.316;4.58958;4243141795;2.69434;2.63426;26.2534;1.92308;1950170.0;251632000.0;1.34095;1.27758;10.2511;0.583122;0.580736;0.0417148;0;13;13;1681
0.00922524;24.6118;6.40931e-21;7.257050000000001e-18;22.2064;0.557129;1.5491;0.498435;-0.46387;37.3167;-97.4155;-56.7248;4243162508;9.96468;3.89843;42.0777;1.41775;22412.0;43889400.0;1.35041;1.50921;8.85254;0.655082;0.628714;0.0350572;0;13;13;1682
1.51379;18.6757;2.90394e-17;3.60339e-16;0.285966;0.506142;2.30379;4.81195;0.169784;333.723;-120.394;-0.977379;4243193704;5.18565;5.1827;55.6305;10.7469;18114300.0;226143000.0;1.31182;1.27758;57.6188;0.64156;0.641532;0.130877;0;13;13;1683
0.0192315;0.354041;4.49402e-19;8.07013e-18;3.43688;1.61904;-0.794916;0.876558;0.351007;-0.661909;193.095;-20.8842;4243259476;23.5492;8.54071;78.2421;1.26121;434058.0;6690190.0;2.53329;1.98723;4.70653;0.419338;0.414974;0.0377741;1;13;13;1684
0.564489;12.5705;7.91014e-17;1.76224e-15;9.74199;166.702;-2.35706;-3.19948;0.0879646;-218.951;114.394;27.8333;1584480380;1173950000000.0;18.2171;117.513;447.242;19498100.0;438332000.0;1.3;1.27758;2413.8;0.962511;0.962511;1.5693;0;13;13;1685
0.00779137;12.1368;3.48861e-21;1.3908800000000002e-18;77.8927;0.832692;3.56699;-4.57182;-0.0568761;-157.008;-246.022;-14.5125;1584482328;15.331;4.02122;40.5563;10.0701;17331.3;17245500.0;1.62323;2.08864;52.3959;0.710464;0.709937;0.141306;1;13;13;1686
0.0453057;4.68588;4.00528e-19;4.08298e-17;4.41799;1.2034;-2.66747;-5.1543;1.92488;-85.9849;184.952;-82.3054;2164364062;13.6885;12.6177;144.067;0.885443;382447.0;43890400.0;1.34444;1.48504;5.77995;0.679608;0.645746;0.025524;0;13;13;1687
0.0509794;5.16392;8.38603e-19;8.45341e-17;73.021;0.029683;-3.53165;0.602592;-0.0919261;-31.8718;312.945;50.8433;2164382723;1332170000000.0;21.4513;133.35;0.263969;555495.0;63062500.0;1.35923;1.49703;2.8936;0.633109;0.472612;0.0114264;0;13;13;1688
0.0652794;23.8528;3.51347e-20;1.15169e-17;5.51337;21.5426;-1.81159;1.65832;-0.00322027;184.439;152.238;17.2867;1143460351;989182000000.0;11.7002;99.0173;1.79166;135843.0;53880000.0;1.35724;1.54679;12.3552;0.776037;0.743017;0.0411886;0;13;13;1689
0.268121;28.4335;1.60899e-19;1.66591e-17;0.0242596;0.209487;1.01384;2.79636;0.0470457;285.569;-26.3686;-9.13246;1143463307;24.1096;6.51879;56.6282;25.7226;588127.0;66642200.0;1.3;1.41636;142.516;0.373899;0.373897;0.237946;0;13;13;1690
0.0623056;7.85548;2.72942e-19;3.36629e-17;8.13641;5.09989;0.0203753;0.757329;0.0188587;90.1154;178.619;13.2202;1143561303;641841000000.0;7.72387;64.2483;1.02642;359885.0;51021900.0;1.34922;1.52401;5.84181;0.42475;0.415672;0.0283105;0;13;13;1691
2.28848;3.00274;1.38258e-16;1.81507e-16;0.192291;16.3042;1.28802;3.40626;-0.141177;314.414;-174.94;-28.4082;2344681697;6.19367;6.15363;56.6731;2.35002;51305200.0;67961800.0;1.3;1.27758;12.6861;0.0924358;0.0924145;0.0474306;0;13;13;1692
1.04224;15.6564;3.84044e-16;6.19337e-15;3.3916;128.443;-0.686873;3.77757;0.0269241;291.191;158.729;-9.70763;2344718027;86.4253;13.3719;89.7325;0.724995;56229000.0;878646000.0;1.30002;1.27758;3.91766;0.187763;0.187545;0.0216555;0;13;13;1693
0.00416526;28.7645;1.8544e-21;9.5002e-19;0.272127;15.946;1.20217;0.479606;0.0975438;1.75706;-187.854;19.6772;3581603652;464036000000.0;5.48521;46.45;4.86901;10379.2;23743500.0;1.89003;2.35857;23.4924;0.612425;0.609818;0.0910574;1;13;13;1694
0.206343;12.1473;6.74175e-18;3.99742e-16;2.41329;387.326;-2.30195;-0.234731;0.0375208;15.1867;283.505;-9.43558;3581716888;146.33;16.7656;106.187;0.326173;5268040.0;195221000.0;2.45024;1.27758;1.34309;0.339;0.296285;0.0143788;0;13;13;1695
0.310085;4.95607;5.00013e-19;7.93231e-18;0.426531;3.78265;3.90355;5.94799;-0.113809;238.567;-92.0639;-14.7584;3581718592;5.44579;4.81596;52.1725;0.140434;1107110.0;18163400.0;1.33865;1.31834;2.91546;0.582463;0.25486;0.00732348;0;13;13;1696
0.294548;27.994;1.93656e-18;1.83987e-16;0.659442;0.0735656;-1.69941;-1.21515;-0.235118;-99.3202;216.822;-7.715;4211082401;17.778;11.5674;95.6104;1.334;2143050.0;211060000.0;1.3292;1.32932;7.23633;0.402664;0.399681;0.0328542;0;13;13;1697
0.161877;3.80801;9.453320000000001e-18;2.23877e-16;0.0321568;6.72026;13.9912;9.40853;-0.00880278;182.494;-210.926;6.25946;4211212174;10.1732;10.0238;124.415;0.296056;3537370.0;86320000.0;1.33787;1.3244;1.72436;0.293716;0.273504;0.0120487;0;13;13;1698
0.0480104;11.215;2.13771e-19;4.8596e-17;0.116625;0.164445;0.117725;2.6087;0.113449;253.334;76.1814;23.175;2729122661;688795000000.0;7.5512;68.9484;0.695834;279687.0;64908900.0;1.3327;1.27758;5.35313;0.709624;0.640564;0.0211595;0;13;13;1699
0.0622535;15.8553;3.1962000000000003e-19;7.9907e-17;9.45109;2.89337;-0.102795;1.51803;0.112386;112.901;-4.63472;118.112;2729138732;85.6764;7.51108;67.9724;0.983524;390190.0;106987000.0;1.34294;1.42739;5.69651;0.540222;0.52435;0.0271836;0;13;13;1700
0.00427992;43.9838;1.6202999999999999e-21;1.95768e-20;3.15772;0.112482;-2.90678;0.245074;0.0430291;81.0152;250.494;-0.236926;2480712790;1189010000000.0;18.7017;119.02;3.0417;10143.6;3561020.0;1.96558;1.9326;15.944;0.746914;0.718846;0.0646604;1;13;13;1701
0.227619;16.6718;2.26596e-17;1.68302e-15;0.154655;2.38328;-0.538814;-3.02173;0.06548;-264.702;130.074;-41.0601;872238342;819644000000.0;9.72425;82.0465;0.584682;6276170.0;466744000.0;1.32618;1.27758;3.24675;0.556297;0.546249;0.0188258;0;13;13;1702
1.2884;11.1923;7.75147e-17;6.73714e-16;0.553354;28.6966;-4.14151;-1.21659;-0.0172296;-14.9249;232.502;8.21434;872266893;237.365;28.6827;148.897;2.82064;28781900.0;252417000.0;1.30001;1.27758;15.2252;0.103845;0.10383;0.0535685;0;13;13;1703
0.380363;7.48419;4.7751700000000006e-18;9.42067e-17;1.34475;2.82098;-0.525968;2.74928;0.233403;230.896;94.7805;-18.3617;872286465;11.2048;8.74051;80.3051;1.62033;3629120.0;74852900.0;1.32972;1.34963;8.76663;0.409738;0.408297;0.037499;0;13;13;1704
0.0978241;59.5342;4.26557e-20;2.39398e-17;0.367585;12.3159;-0.632204;3.24449;-0.0188123;324.729;-7.02096;-6.49223;221793223;849570000000.0;9.88131;85.042;0.211395;184331.0;108472000.0;1.33073;1.27758;3.64111;0.615401;0.33221;0.00955997;0;13;13;1705
